,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,None,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Postural
,Bodyweight Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Bodyweight Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,None,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Postural
,Stability Ball Russian Twist ,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Isolation,Bilateral,Unsorted*
,Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Parallette Mountain Climber,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Parallette Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Bodyweight Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,None,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Postural
,Stability Ball V Up Pass,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bodyweight Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,None,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Postural
,Bodyweight Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Bodyweight Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Bodyweight Kneeling Forearm Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Bodyweight Seated Ab Circles,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Stability Ball Stir the Pot,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bodyweight Alternating Lateral Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Animal Flow
,Ring Hanging L Sit Flutter Kicks ,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,Isometric Hold,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Slam Ball Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Obliques,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Ab Wheel,1,None,0,Kneeling,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Isolation,Bilateral,Unsorted*
,Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,None,0,Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Isolation,Bilateral,Unsorted*
,Medicine Ball V Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Medicine Ball,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
